"scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","phylum"
Abies grandis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Acer glabrum var. douglasii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Acer macrophyllum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Achillea millefolium complex,unknown,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Achlys triphylla,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Acmispon americanus var. americanus,native,reported,infrataxon,secure,unknown,,Tracheophyta
Acmispon denticulatus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Acmispon parviflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Actaea rubra,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Adenocaulon bicolor,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Adiantum aleuticum var. aleuticum,native,new 2017,infrataxon,secure,no_voucher,0,Tracheophyta
Aegopodium podagraria,exotic,new 2023,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Aesculus hippocastanum,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Agoseris grandiflora var. leptophylla,native,confirmed,infrataxon,secure,no_voucher,0.008,Tracheophyta
Agoseris heterophylla ssp. heterophylla,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Agrostis capillaris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Agrostis exarata,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta
Agrostis gigantea,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Agrostis pallens,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Agrostis scabra,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Agrostis stolonifera,exotic,new 2021,non-infrataxon,unknown,no_voucher,0.039,Tracheophyta
Aira caryophyllea,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Aira praecox,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ajuga reptans,exotic,new 2013,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Alcea rosea,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Alchemilla arvensis,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Alchemilla occidentalis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Allium acuminatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Allium amplectens,native,confirmed,non-infrataxon,concern,no_voucher,0.008,Tracheophyta
Allium cernuum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Allium vineale,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Allotropa virgata,native,confirmed,non-infrataxon,secure,voucher,0.018,Tracheophyta
Alnus rubra,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Alopecurus geniculatus,exotic,confirmed,non-infrataxon,unknown,voucher,0.228,Tracheophyta
Alopecurus pratensis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Amaranthus powellii,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Amaranthus retroflexus,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Ambrosia chamissonis,native,new 2016,non-infrataxon,secure,no_voucher,0.039,Tracheophyta
Amelanchier alnifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Amsinckia menziesii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Anaphalis margaritacea,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Andromeda polifolia var. polifolia,native,reported,infrataxon,secure,no_voucher,0.031,Tracheophyta
Angelica genuflexa,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Anisocarpus madioides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Anthemis cotula,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Anthoxanthum aristatum ssp. aristatum,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Anthoxanthum odoratum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Anthriscus caucalis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Antirrhinum majus,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Aphyllon californicum ssp. californicum,native,reported,infrataxon,secure,no_voucher,0.016,Tracheophyta
Aphyllon purpureum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Apocynum androsaemifolium,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Aquilegia formosa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Arabis eschscholtziana,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Arbutus menziesii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Arceuthobium douglasii,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta
Arctium lappa,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Arctium minus,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Arctostaphylos × media,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Arctostaphylos columbiana,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Arctostaphylos uva-ursi,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Arenaria serpyllifolia var. serpyllifolia,exotic,reported,infrataxon,unknown,unknown,,Tracheophyta
Argentina pacifica,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Armeria maritima,exotic,new 2017,non-infrataxon,secure,unknown,,Tracheophyta
Arrhenatherum elatius ssp. elatius,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Artemisia campestris ssp. pacifica,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Artemisia suksdorfii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Asplenium trichomanes ssp. trichomanes,native,new 2016,infrataxon,secure,unknown,,Tracheophyta
Athyrium filix-femina ssp. cyclosorum,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Athysanus pusillus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Atriplex dioica,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Atriplex prostrata,exotic,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Avena fatua,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Avena sativa,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Barbarea orthoceras,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Barbarea verna,exotic,new 2017,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Bellardia viscosa,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Bellis perennis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Berberis aquifolium,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Berberis nervosa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Betula papyrifera,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Bidens amplissima,native,reported,non-infrataxon,concern,no_voucher,0,Tracheophyta
Bidens cernua,native,new 2016,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Boechera sp.,unknown,new 2021,non-infrataxon,unknown,unknown,,Tracheophyta
Bolboschoenus maritimus ssp. paludosus,native,reported,infrataxon,secure,voucher,0,Tracheophyta
Brodiaea coronaria,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Bromus carinatus var. carinatus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Bromus commutatus,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Bromus diandrus,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Bromus hordeaceus,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Bromus inermis,exotic,reported,non-infrataxon,unknown,no_voucher,0.039,Tracheophyta
Bromus racemosus,exotic,new 2022,non-infrataxon,unknown,voucher,0.068,Tracheophyta
Bromus secalinus,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Bromus sitchensis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Bromus sterilis,exotic,confirmed,non-infrataxon,unknown,voucher,0.016,Tracheophyta
Bromus tectorum,exotic,confirmed,non-infrataxon,unknown,voucher,0.016,Tracheophyta
Bromus vulgaris,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Buddleja davidii,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Cakile edentula var. edentula,exotic,new 2016,infrataxon,unknown,unknown,,Tracheophyta
Cakile maritima ssp. maritima,exotic,new 2016,infrataxon,unknown,unknown,,Tracheophyta
Calandrinia menziesii,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Callitriche heterophylla,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Calluna vulgaris,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Caltha palustris,exotic,new 2023,non-infrataxon,unknown,unknown,,Tracheophyta
Calypso bulbosa var. occidentalis,native,confirmed,infrataxon,secure,no_voucher,0.008,Tracheophyta
Calystegia sepium ssp. sepium,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Calystegia silvatica ssp. silvatica,exotic,new 2017,infrataxon,unknown,unknown,,Tracheophyta
Camassia leichtlinii ssp. suksdorfii,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Camassia quamash ssp. quamash,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Campanula persicifolia,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Campanula rotundifolia,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Campanula scouleri,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Capsella bursa-pastoris,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cardamine flexuosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cardamine hirsuta,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cardamine nuttallii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Cardamine occidentalis,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Cardamine oligosperma,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Cardamine pensylvanica,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta
Carex aquatilis var. dives,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Carex arcta,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Carex aurea,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta
Carex canescens ssp. canescens,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Carex cusickii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Carex echinata ssp. echinata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Carex echinata ssp. phyllomanica,native,reported,infrataxon,secure,unknown,,Tracheophyta
Carex exsiccata,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta
Carex flava,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Carex garberi,native,new 2022,non-infrataxon,secure,voucher,0.032,Tracheophyta
Carex hendersonii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Carex inops ssp. inops,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Carex kelloggii var. limnophila,native,reported,infrataxon,secure,voucher,0.008,Tracheophyta
Carex laeviculmis,native,new 2017,non-infrataxon,secure,no_voucher,0.025,Tracheophyta
Carex lasiocarpa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Carex leporina,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Carex leptalea,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Carex leptopoda,native,new 2016,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Carex livida,native,reported,non-infrataxon,secure,no_voucher,0.023,Tracheophyta
Carex lyngbyei,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Carex macrocephala,native,new 2013,non-infrataxon,secure,no_voucher,0,Tracheophyta
Carex obnupta,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Carex pachystachya,native,confirmed,non-infrataxon,secure,voucher,0.032,Tracheophyta
Carex pallescens,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Carex pellita,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta
Carex scoparia,native,new 2022,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Carex sylvatica,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Carex utriculata,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Carex viridula ssp. viridula,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Castilleja attenuata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Castilleja hispida,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Castilleja miniata var. dixonii,native,new 2022,infrataxon,concern,unknown,,Tracheophyta
Ceanothus sanguineus,native,reported,non-infrataxon,secure,no_voucher,0.032,Tracheophyta
Centaurea cyanus,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Centaurea melitensis,exotic,new 2023,non-infrataxon,unknown,unknown,,Tracheophyta
Centaurium erythraea,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Centranthus ruber,exotic,new 2019,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Cerastium arvense ssp. strictum,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Cerastium fontanum,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Cerastium glomeratum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cerastium pumilum,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Cerastium tomentosum,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Ceratophyllum echinatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Chamaenerion angustifolium,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Chenopodium album,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Chimaphila umbellata ssp. umbellata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Cichorium intybus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cicuta douglasii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Cinna latifolia,native,reported,non-infrataxon,secure,voucher,0.032,Tracheophyta
Circaea alpina ssp. alpina,native,confirmed,infrataxon,secure,voucher,0.031,Tracheophyta
Circaea alpina ssp. pacifica,native,confirmed,infrataxon,secure,voucher,0.031,Tracheophyta
Cirsium arvense,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Cirsium brevistylum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Cirsium vulgare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Clarkia amoena ssp. caurina,native,confirmed,infrataxon,concern,unknown,,Tracheophyta
Clarkia amoena ssp. lindleyi,native,new 2017,infrataxon,concern,unknown,,Tracheophyta
Claytonia exigua ssp. exigua,native,new 2016,infrataxon,secure,voucher,0.031,Tracheophyta
Claytonia exigua ssp. glauca,native,new 2013,infrataxon,secure,no_voucher,0.031,Tracheophyta
Claytonia parviflora,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Claytonia perfoliata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Claytonia rubra ssp. depressa,native,new 2017,infrataxon,secure,unknown,,Tracheophyta
Claytonia sibirica,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Clematis vitalba,exotic,new 2019,non-infrataxon,unknown,voucher,0,Tracheophyta
Clinopodium douglasii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Collinsia grandiflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Collinsia parviflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Collomia heterophylla,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Comarum palustre,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Conioselinum gmelinii,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta
Conium maculatum,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Convolvulus arvensis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Corallorhiza maculata var. maculata,native,new 2022,infrataxon,concern,unknown,,Tracheophyta
Corallorhiza maculata var. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Corallorhiza maculata var. ozettensis,native,new 2015,infrataxon,concern,unknown,,Tracheophyta
Corallorhiza mertensiana,native,new 2022,non-infrataxon,secure,voucher,0,Tracheophyta
Corallorhiza striata var. striata,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Cornus nuttallii,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Cornus sericea ssp. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Corylus cornuta ssp. californica,native,new 2016,infrataxon,secure,no_voucher,0,Tracheophyta
Cotoneaster coriaceus,exotic,new 2022,non-infrataxon,unknown,voucher,0.027,Tracheophyta
Cotoneaster franchetii,exotic,new 2022,non-infrataxon,unknown,voucher,0.009,Tracheophyta
Cotoneaster horizontalis,exotic,new 2018,non-infrataxon,unknown,voucher,0,Tracheophyta
Cotoneaster simonsii,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Crassula connata,native,reported,non-infrataxon,concern,unknown,,Tracheophyta
Crataegus douglasii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Crataegus monogyna,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Crepis capillaris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Crocidium multicaule,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Cuscuta pacifica var. pacifica,native,new 2016,infrataxon,secure,unknown,,Tracheophyta
Cyclamen hederifolium,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cymbalaria muralis,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cynosurus cristatus,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Cynosurus echinatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Cystopteris fragilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Cytisus scoparius,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Dactylis glomerata,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Danthonia californica,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Danthonia decumbens,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Danthonia intermedia,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
Daphne laureola,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Datura stramonium,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Daucus carota,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Daucus pusillus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Delphinium ajacis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Delphinium menziesii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Deschampsia cespitosa,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta
Deschampsia danthonioides,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Deschampsia elongata,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Dianthus armeria,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Digitalis purpurea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Dipsacus fullonum,exotic,new 2017,non-infrataxon,unknown,no_voucher,0.024,Tracheophyta
Distichlis spicata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Draba verna,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Drosera rotundifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Dryopteris expansa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Dulichium arundinaceum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Echinochloa crus-galli,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Echinops sphaerocephalus,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Echium vulgare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Eleocharis obtusa,native,new 2017,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Eleocharis palustris,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Elodea canadensis,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Elymus glaucus ssp. glaucus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Elymus repens,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Empetrum nigrum,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta
Epilobium brachycarpum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Epilobium ciliatum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Epilobium densiflorum,native,new 2016,non-infrataxon,concern,unknown,,Tracheophyta
Epilobium hallianum,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta
Epilobium leptophyllum,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta
Epilobium minutum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Epilobium ravenii,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta
Epipactis helleborine,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Equisetum arvense,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Equisetum hyemale ssp. affine,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Equisetum telmateia ssp. braunii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Erigeron canadensis,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Eriocoma lemmonii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Eriophorum chamissonis,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Eriophorum gracile,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta
Eriophyllum lanatum var. leucophyllum,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Erodium cicutarium,exotic,confirmed,infrataxon,unknown,no_voucher,0,Tracheophyta
Erysimum cheiranthoides,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Erythranthe alsinoides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Erythranthe cf guttata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Erythranthe microphylla,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
