"scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","phylum"
Platanthera elegans,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Platanthera elongata,native,confirmed,non-infrataxon,concern,no_voucher,0,Tracheophyta
Platanthera ephemerantha,native,new 2021,non-infrataxon,concern,unknown,,Tracheophyta
Platanthera transversa,native,new 2015,non-infrataxon,concern,unknown,,Tracheophyta
Platanthera unalascensis,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Plectritis congesta ssp. brachystemon,native,new 2016,infrataxon,secure,no_voucher,0.016,Tracheophyta
Plectritis congesta ssp. congesta,native,confirmed,infrataxon,secure,no_voucher,0.016,Tracheophyta
Plectritis macrocera,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Poa annua,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Poa bulbosa,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Poa compressa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Poa howellii,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Poa infirma,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Poa nemoralis,exotic,reported,non-infrataxon,unknown,voucher,0.071,Tracheophyta
Poa palustris,native,new 2022,non-infrataxon,secure,no_voucher,0,Tracheophyta
Poa pratensis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Poa secunda,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Poa trivialis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Polygonum aviculare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Polygonum douglasii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Polygonum fowleri,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Polygonum spergulariiforme,native,new 2018,non-infrataxon,secure,voucher,0,Tracheophyta
Polypodium glycyrrhiza,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Polypogon monspeliensis,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Polystichum munitum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Populus nigra,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Populus tremuloides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Populus trichocarpa,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potamogeton amplifolius,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta
Potamogeton berchtoldii,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Potamogeton gramineus,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Potamogeton natans,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potamogeton pusillus,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Potentilla norvegica,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potentilla recta,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Primula hendersonii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Primula pauciflora var. pauciflora,native,reported,infrataxon,secure,no_voucher,0.024,Tracheophyta
Prunella vulgaris var. vulgaris,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Prunus × pugetensis,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Prunus avium,exotic,new 2016,non-infrataxon,unknown,voucher,0,Tracheophyta
Prunus cerasifera,exotic,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Prunus emarginata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Prunus laurocerasus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Prunus virginiana,native,new 2017,non-infrataxon,secure,no_voucher,0,Tracheophyta
Pseudognaphalium stramineum,native,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Pseudognaphalium thermale,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta
Pseudotsuga menziesii var. menziesii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Psilocarphus tenellus,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta
Pteridium aquilinum ssp. pubescens,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Pterospora andromedea,native,new 2021,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Puccinellia nutkaensis,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Puccinellia nuttalliana,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Puccinellia pumila,native,reported,non-infrataxon,secure,voucher,0.046,Tracheophyta
Pyrola aphylla,native,new 2018,non-infrataxon,concern,no_voucher,0.008,Tracheophyta
Pyrola asarifolia,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Pyrola picta,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Pyrus communis,exotic,new 2016,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Quercus garryana var. garryana,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Ranunculus acris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ranunculus aquatilis,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta
Ranunculus flammula,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Ranunculus occidentalis var. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Ranunculus parviflorus,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Ranunculus repens,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ranunculus sardous,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Ranunculus uncinatus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Raphanus raphanistrum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Raphanus sativus,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Reynoutria japonica,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rhamphospermum arvense,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Rhinanthus minor,native,reported,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Rhododendron groenlandicum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rhynchospora alba,native,confirmed,non-infrataxon,secure,no_voucher,0.023,Tracheophyta
Ribes bracteosum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Ribes divaricatum var. divaricatum,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Ribes lacustre,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
Ribes lobbii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Ribes rubrum,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Ribes sanguineum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Robinia pseudoacacia,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rorippa palustris ssp. palustris,native,reported,infrataxon,secure,unknown,,Tracheophyta
Rosa canina,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Rosa gymnocarpa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Rosa nutkana ssp. nutkana,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Rosa rubiginosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta
Rubus bifrons,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rubus laciniatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rubus leucodermis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rubus parviflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Rubus spectabilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rubus ursinus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rumex acetosella,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rumex conglomeratus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rumex crispus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rumex obtusifolius,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rumex occidentalis,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rumex transitorius,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Sabulina macra,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
Sagina apetala,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Sagina decumbens ssp. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Sagina maxima ssp. maxima,native,reported,infrataxon,secure,unknown,,Tracheophyta
Sagina procumbens,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Salicornia depressa,unknown,reported,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Salicornia pacifica,native,confirmed,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Salix hookeriana,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
Salix lasiandra var. lasiandra,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Salix prolixa,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Salix scouleriana,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Salix sitchensis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Sambucus cerulea,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta
Sambucus racemosa var. arborescens,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Sanguisorba minor,exotic,reported,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Sanicula bipinnatifida,native,reported,non-infrataxon,concern,unknown,,Tracheophyta
Sanicula crassicaulis var. crassicaulis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Sanicula crassicaulis var. tripartita,native,new 2016,infrataxon,secure,unknown,,Tracheophyta
Sanicula graveolens,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Saxifraga cespitosa,native,confirmed,non-infrataxon,secure,voucher,0.033,Tracheophyta
Sceptridium multifidum,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Schoenoplectus acutus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Scilla luciliae,exotic,new 2016,non-infrataxon,unknown,unknown,,Tracheophyta
Scirpus cyperinus,native,new 2018,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Scirpus microcarpus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Scorzoneroides autumnalis,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Secale cereale,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sedum acre,exotic,new 2018,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sedum album,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sedum lanceolatum var. nesioticum,native,confirmed,infrataxon,concern,no_voucher,0.008,Tracheophyta
Sedum spathulifolium,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Selaginella wallacei,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Sempervivum tectorum,exotic,new 2021,non-infrataxon,unknown,unknown,,Tracheophyta
Senecio sylvaticus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Senecio vulgaris,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Setaria viridis,exotic,new 2019,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Shepherdia canadensis,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Sherardia arvensis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Silene antirrhina,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Silene coronaria,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Silene gallica,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Silene latifolia,exotic,reported,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta
Silene vulgaris,exotic,reported,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Sisymbrium altissimum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Sisymbrium officinale,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sisyrinchium idahoense var. idahoense,native,confirmed,infrataxon,concern,unknown,,Tracheophyta
Smyrnium olusatrum,exotic,new 2016,non-infrataxon,unknown,unknown,,Tracheophyta
Solanum americanum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.046,Tracheophyta
Solanum nigrum,exotic,new 2018,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Solanum nitidibaccatum,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Solanum sarrachoides,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Solidago elongata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Solidago lepida,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta
Soliva sessilis,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Sonchus arvensis ssp. arvensis,exotic,confirmed,infrataxon,unknown,no_voucher,0,Tracheophyta
Sonchus asper,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sonchus oleraceus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sorbus aucuparia,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Sparganium angustifolium,native,new 2017,non-infrataxon,secure,voucher,0.016,Tracheophyta
Sparganium emersum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Sparganium natans,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta
Spergula arvensis,exotic,confirmed,non-infrataxon,unknown,voucher,0.362,Tracheophyta
Spergularia canadensis var. occidentalis,native,confirmed,infrataxon,secure,voucher,0.008,Tracheophyta
Spergularia macrotheca var. macrotheca,native,new 2017,infrataxon,secure,unknown,,Tracheophyta
Spergularia marina,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Spergularia rubra,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Spiraea douglasii var. douglasii,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Spiranthes romanzoffiana,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Spirodela polyrhiza,native,confirmed,non-infrataxon,secure,no_voucher,0.023,Tracheophyta
Stachys chamissonis var. cooleyae,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Stellaria borealis ssp. sitchana,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Stellaria crispa,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Stellaria graminea,exotic,new 2015,non-infrataxon,unknown,unknown,,Tracheophyta
Stellaria media,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Stellaria nitens,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Struthiopteris spicant,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Symphoricarpos albus var. laevigatus,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Symphoricarpos mollis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Symphyotrichum chilense,native,confirmed,non-infrataxon,secure,no_voucher,0.017,Tracheophyta
Symphyotrichum novi-belgii,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.017,Tracheophyta
Symphyotrichum subspicatum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Symphytum × uplandicum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Symphytum officinale,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Tanacetum parthenium,exotic,new 2018,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Tanacetum vulgare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Taraxacum erythrospermum agg.,exotic,reported,non-infrataxon,unknown,voucher,0.031,Tracheophyta
Taraxacum lacistophyllum,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Taraxacum officinale agg.,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Taxus brevifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Teesdalia nudicaulis,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Tellima grandiflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Thlaspi arvense,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Thuja plicata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Thysanocarpus curvipes,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Tiarella trifoliata var. laciniata,native,new 2019,infrataxon,secure,voucher,0,Tracheophyta
Tiarella trifoliata var. trifoliata,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Tolmiea menziesii,native,new 2017,non-infrataxon,secure,no_voucher,0,Tracheophyta
Torilis arvensis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Torilis japonica,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Torreyochloa pallida var. pauciflora,native,confirmed,infrataxon,secure,no_voucher,0.031,Tracheophyta
Toxicodendron diversilobum,native,confirmed,non-infrataxon,concern,no_voucher,0.031,Tracheophyta
Toxicoscordion venenosum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Tragopogon porrifolius,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium arvense,exotic,new 2016,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium campestre,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Trifolium dichotomum,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Trifolium dubium,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Trifolium glomeratum,exotic,new 2020,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium hybridum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Trifolium incarnatum,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium microcephalum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Trifolium microdon,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Trifolium oliganthum,native,confirmed,non-infrataxon,secure,voucher,0.219,Tracheophyta
Trifolium pratense,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Trifolium repens,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Trifolium striatum,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium subterraneum,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Trifolium variegatum,native,confirmed,non-infrataxon,secure,voucher,0.016,Tracheophyta
Trifolium willdenovii,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Trifolium wormskioldii,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Triglochin concinna var. concinna,native,reported,infrataxon,concern,unknown,,Tracheophyta
Triglochin maritima,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Triodanis perfoliata,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Triphysaria pusilla,native,confirmed,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Trisetum spicatum,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Triteleia grandiflora,native,new 2018,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Triteleia hyacinthina,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Tsuga heterophylla,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Turritis glabra,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Typha angustifolia,exotic,confirmed,non-infrataxon,unknown,voucher,0.008,Tracheophyta
Typha latifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Ulex europaeus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Uropappus lindleyi,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Urtica gracilis ssp. gracilis,native,new 2017,non-infrataxon,secure,no_voucher,0,Tracheophyta
Utricularia gibba,native,new 2018,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Utricularia macrorhiza,native,reported,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Vaccinium ovatum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Vaccinium oxycoccos,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Vaccinium parvifolium,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Valerianella locusta,exotic,new 2020,non-infrataxon,unknown,unknown,,Tracheophyta
Verbascum phlomoides,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Verbascum thapsus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Veronica americana,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Veronica arvensis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Veronica filiformis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Veronica officinalis,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Veronica peregrina var. peregrina,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Veronica peregrina var. xalapensis,native,new 2022,infrataxon,secure,no_voucher,0.031,Tracheophyta
Veronica persica,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Veronica scutellata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Veronica serpyllifolia,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Viburnum tinus,exotic,new 2015,non-infrataxon,unknown,unknown,,Tracheophyta
Vicia americana,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Vicia cracca,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Vicia gigantea,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Vicia hirsuta,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Vicia lathyroides,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Vicia sativa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Vicia tetrasperma,exotic,new 2020,non-infrataxon,unknown,unknown,,Tracheophyta
Vicia villosa var. villosa,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Vinca major,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Vinca minor,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Viola adunca,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Viola minuscula,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Viola odorata,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Viola palustris,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Viola sempervirens,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Wolffia columbiana,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Yabea microcarpa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Zostera japonica,exotic,new 2016,non-infrataxon,unknown,unknown,,Tracheophyta
Zostera marina,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
